;Preprocessed Title and Abstract
1884;modularity intellectual property protection modularity partitioning technical knowledge product state‐sanctioned intellectual property right ineffective costly enforce modularity hide information protect investigate modularity protection formally modeling threat expropriation agent principal option address threat trust licensing paying agent stay loyal principal influence value option modularizing hiring clan agent exploiting relationship extension address screening signaling hiring imperfect legal norm fairness illustrate argument example author strategic management journal published john son
1567;theoretical investigation property right sharing outsourced engineering relationship article considers property right post bargaining position client‐sponsored focusing positive externality created technology targeted client produce novel set prediction diverge standard transaction property right reasoning contractor property right transaction‐specific investment client contractor property right predicted environmental uncertainty application technology fall outside client intended field contract‐level agreement technology‐intensive setting prediction secondary examination client share property right contractor reduced opportunism execution copyright john son
490;strategy novel complex world power analogy examine discover effective competitive position world novel complex setting rational deduction local search lead array choice analogical reasoning helpful allowing manager transfer useful wisdom similar setting experienced past list observable industry characteristic analogizing manager choose subset believe distinguishes similar industry one faced novel industry seek familiar industry match novel subset characteristic transfer matching industry high‐level policy guide search novel industry
263;research-and-development programme formation university–industry–government network comparative japanese research-and-development programme japan established research-and-development programme aimed basic fundamental research-and-development response criticism free-riding western basic programme linkage university industry government requirement formation selection investigated japanese research-and-development programme promote inter-sectoral inter-institutional network generation programme pre-competitive formed multiple university–industry–government linkage designing relationship participant linkage private company formed erato programme temporarily leave institute fund basic little formation network form linkage outside
1313;dynamic knowledge stock knowledge flow innovation consequence recruitment collaboration biotech extend knowledge-based-view examine managing dynamic balance undertake applying knowledge stock accessing knowledge flow determine innovativeness scientist recruitment alliance source knowledge flow decay overtime degree human reduces speed asset erosion failing account interaction knowledge stock flow underlining causality knowledge source incomplete picture relationship knowledge effort innovative success test assumption longitudinal event history set complete biotech population founded period
1536;money financed r&d-projects industrial revolution investigate long-run historical pattern r&d-outlays reviewing aggregate rate historical research-and-development following historical-institutional chandler north williamson earliest r&d-projects non-insignificant cash outlay aggregate research-and-development outlay grew faster gdp despite well-known challenge implied research-and-development financed cash perfect market existed presence sunk real uncertainty lag adverse selection moral hazard review wide variety organizational form institutional instrument historically overcome financing obstacle enormous research-and-development outlay nineteenth century
756;head heart locating cognition-and affect-based trust manager professional network article investigates configuration cognition affect-based trust manager professional network examining trust relational content indicate cognition-based trust positively economic resource task advice career guidance tie affect-based trust positively friendship career guidance tie negatively economic resource tie extent embeddedness network positive tie affect-based trust tie decrease cognition-based trust illuminate trust arises network inform network invokes trust explain managerial outcome
2823;business strategy effort environmental protection evidence china business strategy play fundamental operation business strategy affect environmental protection behavior remain unclear basis typical emerging market following prospector strategy environmental protection action following defender strategy robust endogeneity check alternative measure business strategy prospector engage environmental activity defender degree financial constraint earning management pronounced state‐owned enterprise heavy‐polluting industry located region strict environmental regulation overall policy implication regulator concerned environmental protection
1263;gaining interaction university multiple method nurturing absorptive capacity examines method interaction university arguing benefit instrumental nurturing multiple facet absorptive capacity bring collected survey collaborated university firm-level past partnership university benefit interaction university multifaceted including enhancement explorative exploitative capability indicate research-and-development commitment geographical proximity quality university partner distinct benefit interaction university geographical proximity crucial assessing problem-solving interaction quality university positive influence benefit downstream activity discus implication policy
1090;government research-and-development subsidy private investor government subsidy research-and-development intended promote return society little private return beneficial private investor caused spillover low appropriability rate apart direct funding government grant serve investment private investor simple signaling research-and-development capture phenomenon agency preference basic promise expected return bank prefer applied private return setup subsidy distinguish basic applied government agency helpful bank subsidy accompanied quality lead increased selected private investment
2084;knowledge boundary innovation mitigating incumbent curse radical technological change explore relationship organization ability radical technological change suggest change presence in‐house upstream knowledge downstream market linkage boundary advantage test prediction robotics industry manufacturer mechanically controlled brawny robot valued mainly payload capacity faced advent electrically controlled brainy robot emphasized accuracy repeatability preadapted firms the one relevant technological knowledge access internal user brainy robots were innovation leader emerging technology laggard technology copyright john son
2727;ownership dynamic founder team external financing examines founder start‐up team dynamically readjust relative ownership stake leverage unique dataset british columbia canada contains detailed information founder ownership trade‐offs efficiency fairness identified founding venture develops team preference fairness start revealed equal division founder share exhibit dynamic preference fairness witnessed reluctance change ownership relative founder stake change company raise investment larger round lower valuation bigger change relative founder stake
480;road researcher mobility inside research-and-development network examines role international assignment form researcher mobility inside integrated research-and-development network largest european pharmaceutical company in-depth interview research-and-development manager scientist international assignment limited aimed specifically transfer knowledge form short-term mobility widely employed transferred short-term visit narrow focus specific international assignment enable transfer broader complex knowledge potential change inter-unit mobility pattern limit exploitation potential synergy discipline creation enduring strong personal tie distant location
959;formal r&d taking advantage source innovation low-and medium-technology industry deepens knowledge critical success factor innovation low medium-technology lmt industry accomplish explores innovation lmt depend non-formal research-and-development activity external source representative panel spanish manufacturing strongly view non-r&d activity advanced machinery training crucial understanding innovation activity especially lmt industry achievement product innovation evidence reveals importance external source consultant hiring personnel collaboration agreement external r&d difference lmt high-technology observed innovation
1894;assessing industrial opportunity academic patent relatedness polymer electrolyte fuel cell detection promising academic vital variety sector bibliometric tool detect hidden pile paper patent relationship academic industrial technology documented introduced patent relatedness measure semantic similarity paper patent conducted polymer electrolyte fuel cell pefc academic paper recent average publication low patent relatedness potential subsequent identified clustering citation network academic paper patent relatedness series variation measured analyzed potential characterized emerging feature identified potential pefc capability
2746;horizontal competition interorganizational exchange partner selection major league baseball player trade examines influence horizontal competition interorganizational exchange interorganizational competition multidimensional construct influence exchange multiple countervailing major league baseball player trade examine influence component competition goal conflict rivalry competitive interaction on interorganizational exchange partner selection goal conflict reduces hazard rate exchange organization competitive interaction evidence exchange moderate competition–exchange relationship reducing perceived risk information benefit exchange competitor evidence interorganizational rivalry shape subsequent exchange behavior
2936;resolving governance dispute community software license decision resolving governance dispute vital importance community gathering github community employ hybrid inductive method initiation change software licenses a fundamental potentially contentious governance issue apply machine learning algorithm identify robust pattern resolution larger license compared license analyze textual explain causal mechanism underpinning pattern resulting highlight reflective agency switch dispute bargaining solving property preference alignment attribute resolution governance dispute contributing community governance
2409;service diversification professional-service-firms investigates service diversification rate mode professional-service-firms psf drawing extant professional-service-firms identify differing view regarding service diversification specifically scholar suggest external client benefit service diversification allow professional-service-firms expand revenue rapid pace pursue merger-and-acquisition activity imply increased diversification cause internal challenge respect learning coordination innovation limit rate revenue encourage merger-and-acquisitions test competing view longitudinal accounting cross-sectional law service diversification negatively rate revenue positively merger-and-acquisitions
1717;ambidexterity scrutiny exploration exploitation internal organization alliance acquisition ambidexterity limited concern balancing exploration exploitation mode operation acknowledging interplay tendency explore versus exploit internal organization alliance acquisition mode balancing tendency mode undermines performance conflicting routine transfer limited specialization exploring mode exploiting balancing mode avoid impediment advance ambidexterity asserting balance mode enhances performance balance mode u.s software reveals exploring externally oriented mode acquisition alliance exploiting internal organization enhances performance copyright john son
1887;fish fish performance relative standing partner affiliate portfolio examines value venture derives affiliation depends relative standing portfolio affiliation held partner relative standing refers venture rank venture partner portfolio respect expected return relative standing venture partner portfolio influence venture access partner resource venture performance argue venture relative standing performance partner larger portfolio status addition field test venture relative standing venture-capital portfolio exit likelihood controlling endogeneity hypothesis copyright john son
1510;experience institutional distance ownership choice high‐technology acquisition critical reason acquire access technology seek understand ownership position foreign market target high‐technology industry specifically look firm‐level experience institutional distance ownership logistic regression cross‐border acquisition undertaken country period acquire target high‐technology industry resort partial acquisition suggests seek target high‐technology industry experience acquisition institutional distance likelihood acquisition partial one contribute understanding interactive relationship technology experience institutional distance determining appropriate ownership choice
2563;human acquisition organizational innovation temporal perspective newcomer contribute organizational innovation bringing knowledge idea hand collaborating exchanging incumbent propose organization ability contribution influenced hiring rate hiring rate change hiring rate dispersion affect flow idea organization level collaboration newcomer incumbent multi-industry hiring rate hiring rate dispersion organizational innovation hiring rate positively innovation organization collaborative practice relationship hiring rate dispersion innovation positive organization collaborative practice highlight temporal pattern hiring influence human acquisition
1659;distinct information technology communication technology organization guided management exception information communication technology worker plant manager autonomy span control suggests information technology decentralizing force communication technology centralizing force set american european manufacturing information technology enterprise resource planning erp plant manager computer-assisted design/computer-assisted manufacturing production worker autonomy wider span control technology improve communication intranet decrease autonomy worker plant manager instrumental variable distance erp origin heterogeneous telecommunication arising regulation strengthens
2040;interpartner dissimilarity industry-university alliance insight comparative comparative alliance in-depth examination interpartner dissimilarity industry-university alliance conceptual distinction routine-based dissimilarity difference partner behavior orientation-based dissimilarity difference partner goal expectation illuminating joint implication collaborative outcome reveal interpartner dissimilarity problematic startup honeymoon stage alliance post-formation alliance stage complicate collaboration orientation-based dissimilarity frustrate partner attempt solve routine-based dissimilarity impeding joint sensemaking conclude combination dissimilarity trigger coordination cooperation pattern alliance eliciting outcome technological relational level
1378;public basic industrial innovation evidence pharmaceutical industry economist believe public fuel industry innovation economic systematic evidence supporting relationship surprisingly limited recent acemoglu linn identified market size driver drug innovation pharmaceutical industry evidence supporting science-driven innovation publicly funded biomedical investment u.s national institute health nih examine contribution public pharmaceutical innovation market size nih funded basic economically statistically entry drug contribution public basic coming earliest stage pharmaceutical drug discovery positive return public investment basic biomedical
2491;creating taming discord manage embedded competition alliance portfolio limit alliance termination summary resource attractive ally desirable partner competitor competition partner embedded alliance portfolio develop framework competition portfolio creates benefit focal threatens partner hazard alliance termination propose mechanism managing threat competition partner reflecting aspect portfolio configuration alliance governance cohesion competition partner similarity test framework biopharmaceutical alliance portfolio comprising alliance address interplay competition cooperation alliance portfolio key aspect value chain integration strategy
551;choosing governance mode external technology sourcing examines uncertainty governance mode choice interfirm relationship business nbd combine transaction economics real option reasoning arguing stage nbd technological market uncertainty company governance mode reversible involve low level commitment uncertainty decreased research-and-development investment transaction consideration dominant company shift governance mode reversible hierarchical argue technological distance lead hierarchical governance mode cooperation lead subsequent choice hierarchical mode finally propose exogenous uncertainty lead hierarchical governance mode
1760;competition consumer preference location choice multinational-enterprises argue undertaking location decision multinational-enterprises mnes ought incorporate competitor reaction decision consumer preference location addition standard cost‐benefit analysis view multinational-enterprises network activity connected product knowledge flow develop game‐theoretic location‐allocation mathematical series computational analysis lead competitive outcome location choice explicit modeling inter‐region difference multinational-enterprises strong tendency regionally focused location configuration importantly regionally focused location configuration shape regionally focused multinational-enterprises globally dispersed multinational-enterprises regional
184;internet invention? an economic technological history computer networking invention embodied internet originated diverse set industrial economy consistently source critical innovation adopter application nation including inventive contribution internet play larger creation business organization governance institution application argue national innovation creation internet echo key theme technological presence domestic market set antitrust regulatory policy weakened power incumbent telecommunication diverse private/public community willing domestic foreign invention precondition leadership computer networking innovation
1231;outperforming europe university technology licensing perspective european paradox europe perceived lagging converting academic economic outcome survey european technology transfer office ttos difference academic tto staff experience explain extent gap europe term license agreement concluded factor account difference license income relate difference licensing income difference organization staffing ttos reveals ttos attach importance generating revenue objective european counterpart employ staff experience industry explains remaining differential license income performance
891;learning supply-side agent technology solution provider experiential diversity client innovation adoption examine experiential learning supply-side agent technology solution providers to overcome technological organizational market-related knowledge hurdle adopting innovation studying electronic banking innovation credit union relationship provider technical experiential diversity positively influence client innovation adoption benefit taper level diversity provider organizational experiential diversity exhibit u-shaped relationship client innovation adoption conditioning client marketing intensity diversity-innovation link varies technology solution provider experience
2000;managing appropriability research-and-development collaboration research-and-development r&d collaboration external stakeholder increasingly pursuing innovation‐related goal collaborating actor customer supplier competitor organisation involves risk knowledge leakage misappropriation created value logical employ mechanism safeguard effective knowledge protection innovation appropriability shed light issue conduct investigation appropriability mechanism research-and-development collaboration multi‐industry inland novel evidence concerning relationship appropriability mechanism intellectual-property-right contract labour legislation human resource management practice lead secrecy tacitness propensity engage research-and-development collaboration stakeholder
1268;determinant research-and-development cooperation japanese startup explores determinant research-and-development cooperation japanese start-ups original survey conducted examine founder industry-specific characteristic research-and-development cooperation partner indicate founder-specific characteristic educational background innovation output affiliation academic association fairly determining research-and-development cooperation academic institute university public institute evidence founder innovation output experience positive research-and-development cooperation business partner respect firm-specific characteristic investing research-and-development tend engage research-and-development cooperation regardless partner furthermore independent cooperate research-and-development academic institute subsidiary affiliated
2320;commercialise university-generated knowledge internationally comparative contingent institutional condition set explore contingent institutional condition underpin knowledge transfer commercialisation university enterprise national border explore phenomenon technology-focused leading national university estonia india portugal argue participant interaction despite maintain core operation institutional field posse common knowledge base shared norm cognitive framework emergence organizational rule facilitate interaction lead institutionalisation restricting scope existing interaction advancement offering central nonpracticing-entities entity advance university-led pooling intellectual property geographically sectorally alternative institutionalisation
2548;institutionalisation market personalised cancer medicine netherlands article aim understand institutionalisation market innovative product pursue market formation analysed introduction innovative personalised medicine product herceptin® trastuzumab breast cancer tarceva® erlotinib lung cancer introduced successively netherlands apply technological innovation ti understand implementation diffusion market including role user producer form regulation novel user practice regarding innovative health technology market access institutionalised technological innovation first-mover personalised medicine market formed paving personalised medicine product
1782;family ownership management governance innovation previous suggests distinctive nature family including specific advantage disadvantage agency situation influence innovation activity view family homogeneous entity neglect heterogeneity family comparing nonfamily factor heterogeneity family influence term ownership management governance set erman publicly traded test dimension family influence predict innovation input output family participation management governance innovation input positive influence innovation output suggests family risk averse reluctant invest innovation effectively
1234;inventor moral hazard university licensing contract examine commonly observed form payment milestone royalty consulting contract engaging inventor licensed invention theoretical milestone feasible royalty optimal unless licensing risk averse predicts consulting contract improve ability monitor inventor effort contract expected profit upfront fee university charge commonly observed university policy allowing faculty consult licensing outside university contract policy including milestone survey business license-in university invention support complementarity milestone consulting suggested
1900;catch-up technology theorization asian experience bi-logistic trajectory attempt examine strategy national innovation shaped technology cycle south korea taiwan singapore malaysia china theorizing technology proxied paper patent trajectory economy meyer taxonomy bi-logistic suggest strategic catch-up south korea taiwan resulted pulse trajectory transition knowledge-based economy country dependent fdi learning acquiring technology catch-up period china malaysia mixed singapore catch-up strategy supporting startup pioneering technology facilitated capability indigenous south korea taiwan policy lesson transition industrial-based knowledge-driven formation evolving dynamic propagating behavior technology
528;raising return venture finance investor venture threaten disrupt market incumbent option market add value investment purchasing option disrupted rival basis asymmetric knowledge profit derivative trade disrupted investor innovator recapture market extra immediate profit equivalent value consumer surplus generated innovation additional profit incentive investor invest disruptive venture correct bias observed investing disruptive innovation guidance arise value explores ethical regulatory practical constraint undertaking trade effective legality robust condition met
1890;red line success failure path dependence diffusion innovative production technology wide variation success innovation obscures similarity influenced choosing production technology argue diffusion similar failed innovation production asset innovation success innovation quality differences early chance event subsequent path dependence intrinsic diffusion diffusion reliably spread innovation producing competitive advantage lead producing innovation adopting high‐quality innovation test prediction quantitatively analyzing diffusion airplane linking information adoption success innovative production technology copyright john son
2722;exploration versus exploitation technology compensation research-and-development workforce investigate relationship compensation extent innovation exploration versus exploitation oriented specifically ass aspect compensation design horizontal dispersion job level vertical tournament incentive job level six-year panel compensation record employee u.s.-based technology construct measure characterize pay linked patent filed u.s higher-powered tournament incentive vertical compensation report fraction innovation directed exploration horizontal pay dispersion hand relationship exploration research-and-development employee age variance low research-and-development employee age variance relationship horizontal pay dispersion exploration muted
563;patent system encouraging innovation lesson economic economic view patent policy instrument aimed fostering innovation diffusion major implication drawn regarding current policy debate patent effective protection inventor recover research-and-development investment imitation costly mover advantage patentability requirement novelty non-obviousness sufficiently stringent avoid grant patent invention low value patent trade-off patent policy instrument length breadth sufficient incentive develop invention value implication economic pleads mechanism optimal patent menu degree patent protection stronger protection involve fee allowing self-selection inventor
285;measuring organizational knowledge conceptual methodological framework knowledge fundamental strategic success limited progress measuring organizational knowledge employ resource‐based organizational epistemology suggest perceptual measuring knowledge protocol identify domain organizational knowledge resource industry organization hospital textile industry interviewed ceo identify feasible set knowledge resource set manager organization measure perception value‐added knowledge resource organization demonstrate importance knowledge resource varies industry organization call question effort generate inventory generic knowledge resource applicable industry copyright john son
1814;chumpeterian economics observation relevance theoretical contribution management industrial research-and-development investigates relevance theoretical writing chumpeter management research-and-development r&d industrial chumpeter emphasis main aspect industrial research-and-development importance entrepreneurship industrial innovation resultant creative destruction major insight rejected long‐standing view equilibrium industrial economy aid relevant chumpeter seek relate theoretical changed favour research-and-development implication industrial research-and-development relationship research-and-development concludes chumpeter lived current industrial landscape returned belief entrepreneurial remain key harbinger technological progress
1420;dynamic wealth profit sustainable advantage idiosyncratic resource drive sustained profitability persistent heterogeneity competitive condition generic input purchased market idiosyncratic resource investment customization analytically heterogeneous coexist equilibrium function customization computationally sustainable profit emerge monopolistic imperfection consider capability heterogeneity resource customization ease expansion interact drive short‐run sustainable profit illustrate sustainable profit represent total wealth created industry change factor shaping sector evolutionary trajectory change factor determine profit ultimate sustainability copyright john son
2543;absorptive capacity exporting activity innovation openness innovation performance sem unifying framework develop unified framework internal knowledge creation capacity diversity innovation openness measured research-and-development collaboration rule innovation export theoretical link major component identified measured employing structural equation modelling greek research-and-development active manufacturing methodology adopted allows multiple feedback loop non-recursive equation elevates indirect main indicates absorptive capacity fueling directly innovation play key filtering integrating external-knowledge stimulus research-and-development collaboration identified indirect statistically direct remain dominant
1073;research-and-development management paradigm rethinking technology organization strategy region research-and-development management paradigm technology organization rtos discussed past academic analysed strategic challenge view demand posed competitive environment small-and-medium-enterprises client innovation proposed recently captured attention policy maker objective analyse rto research-and-development unit basque spain launched aim improving research-and-development technology transfer efficiency specialized rtos r&d unit objective analyse paradigm rto propose identify critical element influence performance strategic alignment research-and-development performer rtos partner smes
667;regional dimension innovation globalization biotechnology peripheral region european union article relationship public sector industry field biotechnology peripheral region european union region valencia spain contributes delocalized research‐industry relation globalized economy uncovers gap well‐developed public sector biotechnology weak biotechnology industry raise question concept predominantly local knowledge community regional innovation system linear technological exert influence decision research-and-development r&d innovation level research-and-development shown condition stimulating innovation suffice research-and-development integrated action correct deficiency regional innovation
1442;identifying bridging network regional cluster network organization organization expected conduit resource knowledge innovation previous paper shown dense network closely innovation performance tight relationship close knit foment trust actor network promote collaboration diverse connection opportunity breakthrough quantitatively evaluate network industrial cluster compare field cluster regard dense opportunity densest network easy look business partner company current partnership tight communication exists partnership propose plausible business partner span current boundary networking
1427;knowledge position high-tech market trajectory standard strategy true innovator essential patent refer patent indispensable product complies technological standard portfolio essential patent indicate strategic value knowledge propose range alternative indicator position patent citation network historical narrative actual licencing payment w-cdma standard mobile telecommunication reference alternative indicator indicator knowledge position long-term technological change proposed indicator applied market standard valuable scholar practitioner raise concern technology inclusion standard body recommend policy maker consider proposed method critically look
2699;worker replacement innovation dynamic evidence italian matched longitudinal explore worker replacement innovation performance rich matched employer–employee panel veneto region italy well-known resource-based departure develop set hypothesis test empirically binomial regression worker replacement significantly dampen innovation performance coherently idea generate loss tacit knowledge base worker replacement especially detrimental possibly company comparatively diaspora innovative capability dependent specific human finally location industrial district significantly mitigates worker replacement similar picture emerges exposed knowledge spillover knowledge
313;location decision spinoff public institution start business expected locate close parent organisation university public lab spillover transferring localised knowledge regional economy evidence location pattern public spinoff limited usually restricted university region comprehensive spatial distribution formation university public organisation representative set germany location pattern public spinoff formation proximity parent institution little significance location decision spinoff attracted location potential customer supply highly qualified labour public spinoff contribute interregional intraregional knowledge transfer
1832;disclosure innovation incentive follow-on reuse cumulative innovation field experiment computational society innovation system academic patent source sense designed facilitate knowledge disclosure innovator essential difference innovation system disclosure intermediate progress solution completed innovation theorize experimental evidence linking intermediate versus final disclosure incentives-versus-reuse tradeoff transformation innovation search intermediate disclosure advantage efficiently steering improving existing solution limiting experimentation narrowing technological search discus comparative advantage intermediate versus final disclosure policy fostering innovation
1340;assessing international trade private research-and-development expenditure food processing sector empirically investigates import export private research-and-development r&d expenditure food processing sector analytical framework discussing international trade research-and-development activity followed dynamic specification current research-and-development expenditure cumulative measure research-and-development investigation applied panel dataset covering organization economic cooperation country import intensity level induce reduction private research-and-development expenditure export intensity level promote larger private research-and-development expenditure outcome imply r&d-enhancing export countered r&d-reducing import
2042;spinouts technology relatedness institutional conceptualizes empirically examines organizational institutional antecedent spinouts business created employee deploy multi-level logistic regression modeling method sub-sample global entrepreneurship monitor survey covering country reveal employee experience activity unrelated core technology organization spin entrepreneurial venture experience core technology recent strength intellectual-property-right availability venture-capital positive likelihood employee entrepreneur institutional factor moderate technology relatedness spinouts employee experience core technology curbed severely stronger intellectual-property-right protection regime lacking venture-capital
258;improvising bricolage account giving improvisational competency founding improvisation occurs execution novel activity converge drawing sample inductive investigates existence channel implication strategic improvisation knowledge-intensive business suggests founding improvisational improvisational issue permeate entrepreneurial activity non-obvious implication emergent strategy competency develop proposition domain occurrence strategic improvisation tactical improvisation rising level strategy network bricolage improvisational competency contributes organizational improvisation bricolage entrepreneurship theoretically improvisation bricolage represent potentially rich addition vocabulary entrepreneurial action
2332;foresighting inclusive propose foresight contribute inclusive innovation system inclusive developing future oriented innovation policy unsuccessful rarely inclusive conceptualize foresighting focus ex-ante policymaking affect actual focus inclusion discus affect policy effectiveness innovation transformation argument policymaking inclusive affect transform innovation system set distributed actor ministry innovation agency gatekeeper change perspective inclusion precondition obstacle transformation notion innovation foresight develop analytical framework foresight emerging economy brazil south korea conclude systemic innovation oriented foresight enhance inclusive
868;risk strategy foreign location choice regulated industry argue regulated industry react macroeconomic policy risk sharply seek avoid country level macroeconomic uncertainty predict attractive expand country characterized government discretionary policymaking capacity negotiate favorable condition entry argue heterogeneous attitude risk predict hold partial equity stake exhibit tolerant attitude expect accumulate foreign experience develop aversion foreign entry politically unstable market prediction latin american market entry listed spanish regulated industry copyright john son
2130;shaping portuguese policy european horizon discourse technological change institution policy essential historical political understanding management understanding main purpose article analyse portuguese policy proposed actor peripheral technology innovation archival printed source qualitative historical evidence influential personality policy measure institutional trajectory purpose understand evaluate interconnection policy purpose understanding technological change strategy portugal identifying trend agent policy measure programme proposed transitional contextual national situation aim article reflexive view consider wider contextual manner main issue iberian policy transition period
1418;free innovator strategic disclosure slow competition innovator freely reveal intellectual property puzzle focal debate research-and-development innovator share proprietary technology rival free even directly them to slow competition disclosing innovator indirectly induce rival wait imitate instead concurrently investing innovation alleviates competitive pressure contrast classical strategy view imitator interfirm knowledge spillover specifically imitator limit know‐how freely appropriate innovator innovator fewer incentive quickly develop technology ultimately reduces pace profit imitation copyright john son
2469;safety crisis research-and-development outsourcing alliance governance mode minimizes spillover examines research-and-development alliance governance affect probability magnitude spillover triggered partner safety crisis hierarchical governance lead lower probability partner suffer crisis trigger spillover governance mode lead spillover magnitude happen expected spillover calculated probability occurrence time magnitude governance mode minimizes expected spillover combine transaction economics signaling develop contingency identifies dominate address reported dilemma evidence dilemma contingency research-and-development outsourcing alliance biopharmaceutical industry
1923;public technical advance size article develops size that firm-level correlate r&d moderates demand supply-side government policy r&d robust government product research-and-development elicit response average size industry suggests example government upstream life science stimulate downstream industrial investment drug extent downstream industry larger predicts entry encumbered expect demand-side subsidy elicit product research-and-development industry degree example barrier entering solar panel manufacturing industry lower expect research-and-development solar panel rise response tax credit purchase
680;shark troll patent prey unrealistic damage award strategy infringed patent-trolls shark patent holding individual trap research-and-development intensive manufacturer patent infringement situation receive damage award illegitimate technology concern management existence corporate decision maker policy maker remains analyzed academic standpoint patent shark operate profitably growing concern manufacturer forearm issue policy maker address map international indemnification rule strategic rationale patent-holding manufacturer theoretical central court unrealistic consideration trade-off faced inadvertent infringers central condition shark operate profitably
1526;university trustee channel academe industry understanding executive network policy maker european union autonomous university increasingly central world class status technology economic innovation trustee regent external board seen marker university autonomy examining university trustee shed light trustees/external board play strategy innovation economic trustee university sit board director corporation hypothesized trustee channel connecting university innovation economic date university trustee studied channel academe industry enables discovery technology economic innovation
256;product market market idea commercialization strategy technology entrepreneur synthetic framework identifying central driver startup commercialization strategy implication driver industrial dynamic link strategy commercialization environment the microeconomic strategic condition facing translating idea value proposition customer framework address technology entrepreneur environment undermine established cooperate incumbent reinforce existing market power suggests competitive interaction startup innovator established depends presence absence market idea focusing operating requirement efficiency institution market idea framework hold implication management high-technology entrepreneurial
2970;measuring open-innovation practice company brazilian industrial center innovation research innovation measurement address innovative action term product service address difficulty researching innovation open-innovation performance metric exploratory followed survey conducted technology-based enterprise incubated brazilian industrial technological center business entrepreneur manager idea open-innovation practice restricted corporation idea proposes understanding open-innovation practice measurement indicator proposed proved measure open-innovation company understand company open-innovation common encouraged conclusion useful medium enterprise smes joining open-innovation practice
127;millennium challenge millennium issue accumulative past millennium approximately participant country contributed judgment future humanity providing independent interinstitutional multinational interdisciplinary global thinking global challenge identified humanity millennium action address range view action addition global lookout panel identified reducing alert timely action explored moral ethical aspect decision normative scenario encompasses theme technological human political economic policy technique user interactive exploratory scenario included special environmental security understanding emerging issue
1505;typology patent-trolls business patent-trolls medium expression patent-trolls phenomenon ambiguous term discussed direction reveals patent-trolls distinct shape appearance redeems troll classification solely market position nonpracticing-entities patent-trolls business defined respective enforce intellectual-property-right ipr treated reveals distinct typology intellectual-property-right enforcement mechanism suggests framework ass troll business furthermore identifies nature troll behavior enforce right enabling repayment earlier innovation investment strategy create affected industry differentiated troll reveals positive troll business incentive innovate
